countyfp,county,total.hh,num.comp,pct.comp,num.desk,pct.desk,num.smrt,pct.smrt,num.tabl,pct.tabl,num.none,pct.none,num.intr,pct.intr,num.dial,pct.dial,num.brod,pct.brod,num.cell,pct.cell,num.satt,pct.satt,num.noin,pct.noin,Dem_RUCA,Dem_Desc,edr,planning.region
001,Aitkin,7709,6272,81.4,5547,72,4404,57.1,3398,44.1,1437,18.6,5234,67.9,109,1.4,5125,66.5,3028,39.3,893,11.6,2475,32.1,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
003,Anoka,126072,115653,91.7,107354,85.2,95372,75.6,73382,58.2,10419,8.3,109281,86.7,1233,1,108048,85.7,71826,57,6653,5.3,16791,13.3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
005,Becker,13489,11226,83.2,10005,74.2,8520,63.2,6618,49.1,2263,16.8,10042,74.4,195,1.4,9847,73,6816,50.5,844,6.3,3447,25.6,C,Urban/town/rural mix,EDR 4 - West Central,Northwest Minnesota
007,Beltrami,17076,14627,85.7,13262,77.7,11138,65.2,8346,48.9,2449,14.3,13161,77.1,100,0.6,13061,76.5,6557,38.4,390,2.3,3915,22.9,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
009,Benton,16005,14111,88.2,12421,77.6,11269,70.4,8355,52.2,1894,11.8,12594,78.7,107,0.7,12487,78,7733,48.3,1148,7.2,3411,21.3,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
011,Big Stone,2264,1738,76.8,1585,70,1196,52.8,888,39.2,526,23.2,1595,70.5,21,0.9,1574,69.5,720,31.8,154,6.8,669,29.5,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
013,Blue Earth,25558,23103,90.4,21670,84.8,18477,72.3,13324,52.1,2455,9.6,21254,83.2,138,0.5,21116,82.6,11107,43.5,1504,5.9,4304,16.8,D,Entirely urban,EDR 9 - South Central,Southwest Minnesota
015,Brown,10668,9006,84.4,8115,76.1,6742,63.2,5105,47.9,1662,15.6,8185,76.7,109,1,8076,75.7,4502,42.2,411,3.9,2483,23.3,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
017,Carlton,13413,11123,82.9,9892,73.7,8878,66.2,6586,49.1,2290,17.1,9452,70.5,193,1.4,9259,69,5808,43.3,1499,11.2,3961,29.5,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
019,Carver,35342,32984,93.3,31708,89.7,27968,79.1,22062,62.4,2358,6.7,31001,87.7,251,0.7,30750,87,20663,58.5,2301,6.5,4341,12.3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
021,Cass,12965,10810,83.4,9418,72.6,7988,61.6,5973,46.1,2155,16.6,9529,73.5,159,1.2,9370,72.3,5606,43.2,919,7.1,3436,26.5,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
023,Chippewa,5019,4199,83.7,3621,72.1,3102,61.8,2339,46.6,820,16.3,3789,75.5,177,3.5,3612,72,2037,40.6,373,7.4,1230,24.5,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
025,Chisago,19871,17863,89.9,16710,84.1,14556,73.3,11577,58.3,2008,10.1,16593,83.5,229,1.2,16364,82.4,10060,50.6,1707,8.6,3278,16.5,D,Entirely urban,EDR 7E- East Central,Central Minnesota
027,Clay,23453,20117,85.8,18628,79.4,16384,69.9,12512,53.3,3336,14.2,17684,75.4,138,0.6,17546,74.8,10762,45.9,1094,4.7,5769,24.6,D,Entirely urban,EDR 4 - West Central,Northwest Minnesota
029,Clearwater,3428,2704,78.9,2411,70.3,1869,54.5,1418,41.4,724,21.1,2385,69.6,38,1.1,2347,68.5,1368,39.9,159,4.6,1043,30.4,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
031,Cook,2700,2328,86.2,2200,81.5,1533,56.8,1216,45,372,13.8,2001,74.1,99,3.7,1902,70.4,885,32.8,356,13.2,699,25.9,A,Entirely rural,EDR 3 - Arrowhead,Northeast Minnesota
033,Cottonwood,4837,3970,82.1,3414,70.6,2906,60.1,2064,42.7,867,17.9,3529,73,44,0.9,3485,72,2121,43.8,734,15.2,1308,27,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
035,Crow Wing,26314,22914,87.1,20576,78.2,17946,68.2,13794,52.4,3400,12.9,21209,80.6,279,1.1,20930,79.5,12406,47.1,2119,8.1,5105,19.4,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
037,Dakota,158777,148178,93.3,139655,88,124622,78.5,97475,61.4,10599,6.7,138498,87.2,770,0.5,137728,86.7,94065,59.2,7676,4.8,20279,12.8,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
039,Dodge,7690,6875,89.4,6448,83.8,5473,71.2,4332,56.3,815,10.6,6438,83.7,65,0.8,6373,82.9,3795,49.3,702,9.1,1252,16.3,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
041,Douglas,16175,13920,86.1,12940,80,10622,65.7,8286,51.2,2255,13.9,12485,77.2,321,2,12164,75.2,6246,38.6,1295,8,3690,22.8,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
043,Faribault,6245,5051,80.9,4509,72.2,3690,59.1,2571,41.2,1194,19.1,4474,71.6,72,1.2,4402,70.5,2025,32.4,373,6,1771,28.4,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
045,Fillmore,8614,7057,81.9,6431,74.7,5112,59.3,3916,45.5,1557,18.1,6262,72.7,143,1.7,6119,71,3374,39.2,816,9.5,2352,27.3,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
047,Freeborn,12958,10821,83.5,9281,71.6,7996,61.7,6480,50,2137,16.5,9598,74.1,127,1,9471,73.1,5934,45.8,892,6.9,3360,25.9,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
049,Goodhue,19345,16979,87.8,15047,77.8,13309,68.8,10758,55.6,2366,12.2,15564,80.5,267,1.4,15297,79.1,10085,52.1,1541,8,3781,19.5,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
051,Grant,2536,2133,84.1,1882,74.2,1633,64.4,1209,47.7,403,15.9,1859,73.3,70,2.8,1789,70.5,875,34.5,124,4.9,677,26.7,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
053,Hennepin,499104,456887,91.5,428037,85.8,383826,76.9,296463,59.4,42217,8.5,420181,84.2,3090,0.6,417091,83.6,282827,56.7,21533,4.3,78923,15.8,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
055,Houston,8114,6922,85.3,6371,78.5,4856,59.8,3741,46.1,1192,14.7,6450,79.5,110,1.4,6340,78.1,3004,37,371,4.6,1664,20.5,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
057,Hubbard,8758,7591,86.7,6921,79,5488,62.7,4359,49.8,1167,13.3,6716,76.7,178,2,6538,74.7,3841,43.9,571,6.5,2042,23.3,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
059,Isanti,14571,12691,87.1,11736,80.5,10080,69.2,7917,54.3,1880,12.9,11479,78.8,251,1.7,11228,77.1,6934,47.6,1418,9.7,3092,21.2,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
061,Itasca,19356,16206,83.7,14382,74.3,12130,62.7,9397,48.5,3150,16.3,14635,75.6,116,0.6,14519,75,9133,47.2,1708,8.8,4721,24.4,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
063,Jackson,4350,3613,83.1,3299,75.8,2696,62,2097,48.2,737,16.9,3263,75,48,1.1,3215,73.9,2065,47.5,623,14.3,1087,25,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
065,Kanabec,6353,5241,82.5,4502,70.9,3978,62.6,3034,47.8,1112,17.5,4374,68.8,95,1.5,4279,67.4,2712,42.7,940,14.8,1979,31.2,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
067,Kandiyohi,16765,14467,86.3,12908,77,11362,67.8,8735,52.1,2298,13.7,13091,78.1,159,0.9,12932,77.1,6964,41.5,1190,7.1,3674,21.9,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
069,Kittson,1891,1489,78.7,1346,71.2,1021,54,736,38.9,402,21.3,1083,57.3,34,1.8,1049,55.5,491,26,94,5,808,42.7,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
071,Koochiching,5629,4487,79.7,3992,70.9,3019,53.6,2439,43.3,1142,20.3,3979,70.7,51,0.9,3928,69.8,2298,40.8,369,6.6,1650,29.3,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
