edr,planning.region,type,number,pct.hh
EDR 1 - Northwest,Northwest,num.brod,23821,0.6823546261816098
EDR 1 - Northwest,Northwest,num.cell,13532,0.3876253222572329
EDR 1 - Northwest,Northwest,num.comp,28562,0.8181609853910055
EDR 1 - Northwest,Northwest,num.desk,25649,0.73471784588943
EDR 1 - Northwest,Northwest,num.dial,377,0.01079919793755371
EDR 1 - Northwest,Northwest,num.intr,24198,0.6931538241191636
EDR 1 - Northwest,Northwest,num.noin,10712,0.30684617588083646
EDR 1 - Northwest,Northwest,num.none,6348,0.18183901460899457
EDR 1 - Northwest,Northwest,num.satt,1824,0.052248639358350044
EDR 1 - Northwest,Northwest,num.smrt,21277,0.609481523918648
EDR 1 - Northwest,Northwest,num.tabl,15707,0.4499283872815812
EDR 1 - Northwest,Northwest,total.hh,34910,1
EDR 10 - Southeast,Southeast,num.brod,158407,0.8020891879712192
EDR 10 - Southeast,Southeast,num.cell,97922,0.4958251684869843
EDR 10 - Southeast,Southeast,num.comp,173367,0.8778387082073795
EDR 10 - Southeast,Southeast,num.desk,158570,0.8029145336796747
EDR 10 - Southeast,Southeast,num.dial,1827,0.009250960793547112
EDR 10 - Southeast,Southeast,num.intr,160234,0.8113401487647663
EDR 10 - Southeast,Southeast,num.noin,37259,0.18865985123523366
EDR 10 - Southeast,Southeast,num.none,24126,0.1221612917926205
EDR 10 - Southeast,Southeast,num.satt,13212,0.06689857362033085
EDR 10 - Southeast,Southeast,num.smrt,134393,0.6804950048862491
EDR 10 - Southeast,Southeast,num.tabl,105480,0.5340948793121781
EDR 10 - Southeast,Southeast,total.hh,197493,1
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.brod,988854,0.8468622930490516
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.cell,669773,0.5735988311746147
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.comp,1071714,0.9178242445626668
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.desk,1002572,0.8586104954490489
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.dial,7696,0.006590914540777002
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.intr,996550,0.8534532075898286
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.noin,171118,0.14654679241017138
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.none,95954,0.08217575543733321
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.satt,54161,0.04638390364384397
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.smrt,893898,0.7655412326106393
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,num.tabl,693324,0.5937680916150824
EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,total.hh,1167668,1
EDR 2 - Headwaters,Northwest,num.brod,23784,0.7264064504306396
